name,free_bikes,empty_slots,city,country,position
WESTERN WAY,10,30,Dublin,Ireland,0
PRINCES STREET / O'CONNELL STREET,3,20,Dublin,Ireland,0
FITZWILLIAM SQUARE WEST,5,25,Dublin,Ireland,0
BOLTON STREET,5,15,Dublin,Ireland,0
GRANGEGORMAN LOWER (SOUTH),10,30,Dublin,Ireland,0
SMITHFIELD,15,15,Dublin,Ireland,0
YORK STREET EAST,11,21,Dublin,Ireland,0
CLARENDON ROW,5,26,Dublin,Ireland,0
ECCLES STREET EAST,12,15,Dublin,Ireland,0
KING STREET NORTH,4,26,Dublin,Ireland,0
BENSON STREET,20,20,Dublin,Ireland,0
GRANGEGORMAN LOWER (CENTRAL),14,26,Dublin,Ireland,0
ROTHE ABBEY,17,18,Dublin,Ireland,0
CITY QUAY,17,13,Dublin,Ireland,0
CLONMEL STREET,7,26,Dublin,Ireland,0
FITZWILLIAM SQUARE EAST,8,32,Dublin,Ireland,0
PARNELL SQUARE NORTH,0,20,Dublin,Ireland,0
EARLSFORT TERRACE,10,20,Dublin,Ireland,0
PEARSE STREET,6,24,Dublin,Ireland,0
JAMES STREET EAST,14,16,Dublin,Ireland,0
JOHN STREET WEST,22,9,Dublin,Ireland,0
EXCISE WALK,6,34,Dublin,Ireland,0
MOUNTJOY SQUARE EAST,4,36,Dublin,Ireland,0
KILMAINHAM LANE,5,25,Dublin,Ireland,0
FRANCIS STREET,26,4,Dublin,Ireland,0
GRATTAN STREET,6,17,Dublin,Ireland,0
HIGH STREET,18,11,Dublin,Ireland,0
MERRION SQUARE EAST,5,25,Dublin,Ireland,0
HARCOURT TERRACE,12,8,Dublin,Ireland,0
HEUSTON BRIDGE (NORTH),25,15,Dublin,Ireland,0
LEINSTER STREET SOUTH,7,23,Dublin,Ireland,0
GRANGEGORMAN LOWER (NORTH),6,30,Dublin,Ireland,0
THE POINT,2,38,Dublin,Ireland,0
GEORGES QUAY,9,11,Dublin,Ireland,0
BROADSTONE,18,12,Dublin,Ireland,0
HEUSTON STATION (CAR PARK),25,15,Dublin,Ireland,0
PARNELL STREET,2,18,Dublin,Ireland,0
AVONDALE ROAD,22,13,Dublin,Ireland,0
YORK STREET WEST,2,18,Dublin,Ireland,0
DAME STREET,7,9,Dublin,Ireland,0
CHARLEMONT PLACE,6,34,Dublin,Ireland,0
HANOVER QUAY EAST,5,35,Dublin,Ireland,0
PARKGATE STREET,15,23,Dublin,Ireland,0
BROOKFIELD ROAD,24,6,Dublin,Ireland,0
TOWNSEND STREET,9,11,Dublin,Ireland,0
ST JAMES HOSPITAL (LUAS),32,8,Dublin,Ireland,0
SOUTH DOCK ROAD,4,26,Dublin,Ireland,0
MOUNT STREET LOWER,9,31,Dublin,Ireland,0
GEORGES LANE,21,19,Dublin,Ireland,0
BLESSINGTON STREET,5,15,Dublin,Ireland,0
SIR PATRICK DUN'S,16,24,Dublin,Ireland,0
NORTH CIRCULAR ROAD,20,10,Dublin,Ireland,0
MOLESWORTH STREET,17,3,Dublin,Ireland,0
EMMET ROAD,20,20,Dublin,Ireland,0
HARDWICKE PLACE,7,18,Dublin,Ireland,0
MERRION SQUARE SOUTH,5,34,Dublin,Ireland,0
TALBOT STREET,40,0,Dublin,Ireland,0
ST. STEPHEN'S GREEN EAST,15,25,Dublin,Ireland,0
GRAND CANAL DOCK,30,9,Dublin,Ireland,0
MOUNTJOY SQUARE WEST,11,19,Dublin,Ireland,0
FREDERICK STREET SOUTH,5,35,Dublin,Ireland,0
BARROW STREET,12,9,Dublin,Ireland,0
GOLDEN LANE,8,12,Dublin,Ireland,0
MERRION SQUARE WEST,11,9,Dublin,Ireland,0
MOUNT BROWN,10,12,Dublin,Ireland,0
LENNOX STREET,0,0,Dublin,Ireland,0
CHRISTCHURCH PLACE,8,12,Dublin,Ireland,0
HEUSTON BRIDGE (SOUTH),12,13,Dublin,Ireland,0
FOWNES STREET UPPER,4,26,Dublin,Ireland,0
GREEK STREET,10,10,Dublin,Ireland,0
GRANTHAM STREET,16,14,Dublin,Ireland,0
WILTON TERRACE,5,15,Dublin,Ireland,0
WILTON TERRACE (PARK),31,8,Dublin,Ireland,0
DEVERELL PLACE,2,28,Dublin,Ireland,0
PHIBSBOROUGH ROAD,15,25,Dublin,Ireland,0
