name,free_bikes,empty_slots,city,country,position
WESTERN WAY,25,15,Dublin,Ireland,1
PRINCES STREET / O'CONNELL STREET,9,14,Dublin,Ireland,1
FITZWILLIAM SQUARE WEST,11,19,Dublin,Ireland,1
BOLTON STREET,14,6,Dublin,Ireland,1
GRANGEGORMAN LOWER (SOUTH),0,40,Dublin,Ireland,1
SMITHFIELD,7,23,Dublin,Ireland,1
YORK STREET EAST,22,10,Dublin,Ireland,1
CLARENDON ROW,17,14,Dublin,Ireland,1
ECCLES STREET EAST,0,27,Dublin,Ireland,1
KING STREET NORTH,26,4,Dublin,Ireland,1
BENSON STREET,11,29,Dublin,Ireland,1
GRANGEGORMAN LOWER (CENTRAL),0,40,Dublin,Ireland,1
ROTHE ABBEY,6,29,Dublin,Ireland,1
CITY QUAY,2,28,Dublin,Ireland,1
CLONMEL STREET,26,7,Dublin,Ireland,1
FITZWILLIAM SQUARE EAST,1,39,Dublin,Ireland,1
EARLSFORT TERRACE,4,26,Dublin,Ireland,1
PEARSE STREET,11,19,Dublin,Ireland,1
JAMES STREET EAST,3,27,Dublin,Ireland,1
JOHN STREET WEST,4,27,Dublin,Ireland,1
EXCISE WALK,0,40,Dublin,Ireland,1
MOUNTJOY SQUARE EAST,0,40,Dublin,Ireland,1
KILMAINHAM LANE,2,28,Dublin,Ireland,1
FRANCIS STREET,17,13,Dublin,Ireland,1
GRATTAN STREET,2,21,Dublin,Ireland,1
HIGH STREET,0,29,Dublin,Ireland,1
MERRION SQUARE EAST,5,25,Dublin,Ireland,1
HARCOURT TERRACE,1,19,Dublin,Ireland,1
HEUSTON BRIDGE (NORTH),13,27,Dublin,Ireland,1
LEINSTER STREET SOUTH,18,12,Dublin,Ireland,1
GRANGEGORMAN LOWER (NORTH),2,34,Dublin,Ireland,1
PORTOBELLO HARBOUR,23,7,Dublin,Ireland,1
THE POINT,32,8,Dublin,Ireland,1
GEORGES QUAY,14,6,Dublin,Ireland,1
BROADSTONE,10,20,Dublin,Ireland,1
HEUSTON STATION (CAR PARK),39,1,Dublin,Ireland,1
PARNELL SQUARE NORTH,6,14,Dublin,Ireland,1
PARNELL STREET,2,18,Dublin,Ireland,1
AVONDALE ROAD,1,34,Dublin,Ireland,1
YORK STREET WEST,0,0,Dublin,Ireland,1
DAME STREET,14,2,Dublin,Ireland,1
CHARLEMONT PLACE,9,31,Dublin,Ireland,1
HANOVER QUAY EAST,13,27,Dublin,Ireland,1
PARKGATE STREET,35,3,Dublin,Ireland,1
BROOKFIELD ROAD,3,27,Dublin,Ireland,1
TOWNSEND STREET,11,9,Dublin,Ireland,1
ST JAMES HOSPITAL (LUAS),2,38,Dublin,Ireland,1
SOUTH DOCK ROAD,20,10,Dublin,Ireland,1
MOUNT STREET LOWER,21,19,Dublin,Ireland,1
GEORGES LANE,9,31,Dublin,Ireland,1
BLESSINGTON STREET,11,9,Dublin,Ireland,1
SIR PATRICK DUN'S,29,11,Dublin,Ireland,1
NORTH CIRCULAR ROAD,4,26,Dublin,Ireland,1
