name,free_bikes,empty_slots,city,country,position
LONGEFER / KRUGER,12,4,Lyon,France,15
AMPÈRE / BOURSE,5,21,Lyon,France,15
CONSERVATOIRE,13,6,Lyon,France,15
SUBSISTANCES,6,15,Lyon,France,15
LAFAYETTE / CORNEILLE,7,6,Lyon,France,15
PARC DE GERLAND,15,9,Lyon,France,15
PLACE AMPÈRE,10,0,Lyon,France,15
SAINTE-IRÉNÉE,2,18,Lyon,France,15
PERRACHE / CARNOT,15,3,Lyon,France,15
BELLECOUR / ST EXUPÉRY,13,25,Lyon,France,15
CHÂTEAU GAILLARD / FORT,7,9,Lyon,France,15
ZOLA / PASSAGE REY,3,16,Lyon,France,15
INSTITUT LUMIERE,1,17,Lyon,France,15
ST FONS - THEATRE,4,14,Lyon,France,15
PÊCHERIE,0,17,Lyon,France,15
SALA / RUE DU PLAT,10,4,Lyon,France,15
JACOBINS,3,22,Lyon,France,15
LUMIERE / TROUILHET,5,9,Lyon,France,15
SALENGRO / DESCARTES,8,6,Lyon,France,15
JEAN JAURÈS,11,3,Lyon,France,15
PLACE HENRI,2,10,Lyon,France,15
PLACE DE LA PAIX,13,4,Lyon,France,15
GRATTE-CIEL,10,6,Lyon,France,15
CHARCOT / RÉSIDENCE UNIVERSITAIRE,16,13,Lyon,France,15
MONTGOLFIER / CHATEAU GAILLARD,2,15,Lyon,France,15
BOURBONNAIS,0,10,Lyon,France,15
MAIRIE DU 7E,22,8,Lyon,France,15
VAULX - VILLAGE,13,7,Lyon,France,15
4 AOÛT 1789,2,11,Lyon,France,15
GREUZE,8,10,Lyon,France,15
MAIRIE DU 8E,4,17,Lyon,France,15
PLACE CRÉPU,2,17,Lyon,France,15
ST GERMAIN AU MONT D'OR,10,5,Lyon,France,15
TRARIEUX / LACASSAGNE,18,4,Lyon,France,15
BALDASSINI / GERLAND,20,0,Lyon,France,15
11 NOVEMBRE,29,6,Lyon,France,15
SAINT-JEAN,24,15,Lyon,France,15
CENTRE BERTHELOT,14,5,Lyon,France,15
FONTAINES S/S - QUAI SIMON,16,4,Lyon,France,15
COLLONGES - MEDIATHEQUE,8,7,Lyon,France,15
LYCÉE MARIE CURIE,0,14,Lyon,France,15
BARATIN,8,4,Lyon,France,15
PLACE ARISTIDE BRIAND,4,34,Lyon,France,15
MARIETTON OUEST,5,15,Lyon,France,15
BERTHELOT / ROUTE DE VIENNE,4,11,Lyon,France,15
JOFFRE / VAUBECOUR,16,3,Lyon,France,15
CÉLESTINS,12,9,Lyon,France,15
VENISSIEUX - FARGE / CLOCHETTES,12,0,Lyon,France,15
SAINT-CYR,15,15,Lyon,France,15
CONSERVATOIRE BIS,12,10,Lyon,France,15
GUILLOTIERE / NICOLAÏ,4,26,Lyon,France,15
CALUIRE - BRANLY / PASTEUR,1,14,Lyon,France,15
JAURES / BOLLIER,21,13,Lyon,France,15
PLACE AMBROISE COURTOIS,14,4,Lyon,France,15
MASSET / SAINT-PIERRE DE VAISE,8,6,Lyon,France,15
GARE DE VAISE,6,16,Lyon,France,15
BEAUVOIR / MAROT,1,19,Lyon,France,15
NEUVILLE - STADE,9,6,Lyon,France,15
PLACE PUVIS DE CHAVANNES,2,4,Lyon,France,15
PART-DIEU / VILLETTE,24,4,Lyon,France,15
PLACE DE LA CROIX-ROUSSE,0,20,Lyon,France,15
VILLETTE,22,16,Lyon,France,15
CALUIRE - SAINT-CLAIR,6,14,Lyon,France,15
LIBERTÉ / PART-DIEU,6,3,Lyon,France,15
PISCINE DE VAISE,10,7,Lyon,France,15
ST GENIS L. - MÉDIATHÈQUE,1,11,Lyon,France,15
VAISE DOCKS,16,2,Lyon,France,15
BEAUVISAGE / PRESSENSÉ,0,17,Lyon,France,15
MARTINIÈRE,0,10,Lyon,France,15
HÔPITAL SAINT-JEAN DE DIEU,3,16,Lyon,France,15
VOYANT / CHAMBFORT,20,2,Lyon,France,15
SAINT-FONS - PLACE DES CUBES,1,13,Lyon,France,15
DUMONT / JOUVET,2,15,Lyon,France,15
SAINT-JUST,7,10,Lyon,France,15
SAINT-PAUL,1,21,Lyon,France,15
CONDORCET,15,7,Lyon,France,15
CORNEILLE / SERVIENT,11,2,Lyon,France,15
PLACE DE LA PAIX,0,20,Lyon,France,15
MARSEILLE / UNIVERSITÉ,27,13,Lyon,France,15
RÉPUBLIQUE / PAUFIQUE,12,16,Lyon,France,15
GORGE DE LOUP,11,28,Lyon,France,15
PLACE SAINTE ANNE,3,14,Lyon,France,15
CROIX LUIZET,1,20,Lyon,France,15
BOUVIER,4,12,Lyon,France,15
TASSIN - TUILERIES,8,4,Lyon,France,15
VAULX - HÔTEL DE VILLE,19,11,Lyon,France,15
PLACE RHODIACETA,11,1,Lyon,France,15
MÉNIVAL / EISENHOWER,0,11,Lyon,France,15
JAURÈS / GERLAND,10,9,Lyon,France,15
VOILLOT / GARNIER,14,1,Lyon,France,15
BRON - CENTRE NAUTIQUE,3,10,Lyon,France,15
PHILIPPE DE LASSALLE,0,22,Lyon,France,15
SAXE / MONCEY,15,13,Lyon,France,15
AMBROISE PARÉ,10,13,Lyon,France,15
LES HALLES,13,4,Lyon,France,15
PLACE DE LA RECONNAISSANCE,1,30,Lyon,France,15
GRANDCLÉMENT,1,18,Lyon,France,15
MARTINIÈRE / MONPLAISIR,2,18,Lyon,France,15
ROUVILLE,0,16,Lyon,France,15
CONDORCET / GALLINE,4,9,Lyon,France,15
RUE DE LA BALEINE,1,13,Lyon,France,15
CRÉQUI / VOLTAIRE,2,28,Lyon,France,15
VILLETTE / SAINT-ANTOINE,6,12,Lyon,France,15
CITÉ INTERNATIONALE / RÉSIDENCE HÔTELIÈRE,21,7,Lyon,France,15
DECINES - CENTRE,5,15,Lyon,France,15
ROSSELINI / 11 NOVEMBRE,23,7,Lyon,France,15
CHASSIEU - GENAS / PROGRES,7,5,Lyon,France,15
TERREAUX / BEAUX ARTS,0,0,Lyon,France,15
GAMBETTA / JUSSERAND,1,12,Lyon,France,15
VERDUN / DESGRAND,0,18,Lyon,France,15
MONTEE DE L'OBSERVANCE,8,7,Lyon,France,15
ZOLA / FRANCE,12,1,Lyon,France,15
BOURSE DU TRAVAIL,12,12,Lyon,France,15
PLACE REGAUD,11,0,Lyon,France,15
BUYER / APOLLINAIRE,0,0,Lyon,France,15
HERRIOT / MAUPIN,8,16,Lyon,France,15
VIVIER MERLE / PAUL BERT OUEST,18,1,Lyon,France,15
BERTHELOT / VILLON,0,13,Lyon,France,15
PLACE DANTON,11,6,Lyon,France,15
TERREAUX / CHENAVARD,0,16,Lyon,France,15
PLACE ROUGET DE L'ISLE,3,12,Lyon,France,15
ALSACE ANATOLE FRANCE,0,20,Lyon,France,15
ANDREI SAKHAROV,8,3,Lyon,France,15
ANATOLE FRANCE / ZOLA,8,5,Lyon,France,15
DOCTEUR DAMIDOT,8,9,Lyon,France,15
HALLE TONY GARNIER,15,5,Lyon,France,15
CHAZETTE LASSAGNE,0,18,Lyon,France,15
PHILOMENE MAGNIN,0,0,Lyon,France,15
BOUSSANGES / AUSTERLITZ,1,17,Lyon,France,15
RÉPUBLIQUE,13,3,Lyon,France,15
CALUIRE - LA ROCHETTE,5,15,Lyon,France,15
DOMER / CHEVREUL,3,8,Lyon,France,15
SALENGRO / FEYSSINE,1,17,Lyon,France,15
OPÉRA,6,33,Lyon,France,15
SERVIENT / GARIBALDI,20,11,Lyon,France,15
BELLECOUR / RÉPUBLIQUE,15,3,Lyon,France,15
PIERRE DELORE,0,19,Lyon,France,15
RILLIEUX - LOUP PENDU,18,2,Lyon,France,15
ST PRIEST - CITE BERLIET,19,1,Lyon,France,15
CITÉ SCOLAIRE INTERNATIONALE,19,6,Lyon,France,15
COLLONGES - GARE,11,12,Lyon,France,15
NEUVILLE - QUAI PASTEUR,9,11,Lyon,France,15
VENISSIEUX - PLACE ROMAND,1,19,Lyon,France,15
JAURES SAINT EXUPERY,2,13,Lyon,France,15
MASARYK / SAINT-CYR,7,6,Lyon,France,15
SISLEY / DAUPHINE,1,14,Lyon,France,15
INSTITUT D'ART CONTEMPORAIN,2,21,Lyon,France,15
PLACE DE L'HIPPODROME,0,24,Lyon,France,15
SERGENT BERTHET / GORGE DE LOUP,14,2,Lyon,France,15
4 AOUT / RACINE,3,26,Lyon,France,15
LAFAYETTE / INKERMANN,17,13,Lyon,France,15
GARIBALDI / DOMER,3,16,Lyon,France,15
SAINT-LUC / SAINT-JOSEPH,27,6,Lyon,France,15
PLACE STALINGRAD,1,12,Lyon,France,15
KIMMERLING / FAURE,1,17,Lyon,France,15
VENISSIEUX PARILLY,6,19,Lyon,France,15
VAULX - BIBLIOTHEQUE,9,6,Lyon,France,15
CROIX ROUSSE / PERFETTI,0,18,Lyon,France,15
MUSEE AFRICAIN,0,22,Lyon,France,15
TONKIN,3,7,Lyon,France,15
QUAI SARRAIL,6,8,Lyon,France,15
CHATEAU GAILLARD / BIENVENUS,0,15,Lyon,France,15
CITÉ INTERNATIONALE,10,11,Lyon,France,15
PAUL BERT / GARIBALDI,7,14,Lyon,France,15
GREGORY COUPET,1,15,Lyon,France,15
PORTE DES ENFANTS DU RHÔNE,0,39,Lyon,France,15
BANCEL / CHEVREUL,18,2,Lyon,France,15
4 AOÛT 1789 / PRESSENSÉ,16,3,Lyon,France,15
DAUPHINÉ / SAINT-MAXIMIN,5,25,Lyon,France,15
GARE DES BROTTEAUX,13,3,Lyon,France,15
CONFLUENCE / DOCKS,25,1,Lyon,France,15
CROUS,0,17,Lyon,France,15
LAENNEC / PINEL,8,7,Lyon,France,15
PLACE EDGAR QUINET,0,0,Lyon,France,15
BERTHELOT / GARIBALDI,1,14,Lyon,France,15
PISCINE DU RHÔNE,26,5,Lyon,France,15
PART-DIEU / GARIBALDI,14,4,Lyon,France,15
CHARMETTES / BELLECOMBE,1,19,Lyon,France,15
GARIBALDI / PENSIONNAT,4,26,Lyon,France,15
QUAI ROMAIN ROLLAND,2,15,Lyon,France,15
DOUA / RUE DES SPORTS,27,3,Lyon,France,15
PATINOIRE CHARLEMAGNE,32,5,Lyon,France,15
TECHSUD,7,5,Lyon,France,15
MÉNIVAL / JOLIOT CURIE,5,15,Lyon,France,15
LUGDUNUM - RADISSON,0,15,Lyon,France,15
LA PERRALIÈRE,7,15,Lyon,France,15
JEAN XXIII / MERMOZ,1,13,Lyon,France,15
CHAZIÈRE,0,20,Lyon,France,15
SALA / CHARITÉ,3,18,Lyon,France,15
L'HOMME DE LA ROCHE,2,19,Lyon,France,15
BIRMINGHAM,9,11,Lyon,France,15
MAIRIE DU 4E,0,19,Lyon,France,15
BOULEVARD DES BELGES,14,1,Lyon,France,15
VENISSIEUX - GARE,4,21,Lyon,France,15
PART-DIEU / DERUELLE,37,2,Lyon,France,15
CAZENEUVE,5,14,Lyon,France,15
MUSÉE GUIMET,4,11,Lyon,France,15
SANTY / BEAUVISAGE,0,15,Lyon,France,15
COLIN / PERRONCEL,11,3,Lyon,France,15
BRON - PLACE CURIAL,5,20,Lyon,France,15
RÉCAMIER / TÊTE D'OR,15,0,Lyon,France,15
SAINT EXUPÉRY,0,14,Lyon,France,15
PART-DIEU / CUIRASSIERS,33,7,Lyon,France,15
QUAI LASSAGNE,1,14,Lyon,France,15
EINSTEIN / 11 NOVEMBRE 1918,24,10,Lyon,France,15
PERRACHE / DE PURY,15,3,Lyon,France,15
MERIEUX / PAVILLONS,6,10,Lyon,France,15
JAURÈS / THIBAUDIÈRE,0,28,Lyon,France,15
SAINT GENIS - HOPITAUX SUD,2,13,Lyon,France,15
MAIRIE DE VILLEURBANNE,20,5,Lyon,France,15
MERMOZ / MICHELET,4,7,Lyon,France,15
PRIMAT / DECORPS,7,6,Lyon,France,15
CUSSET,18,2,Lyon,France,15
ECOLE DE MUSIQUE,2,20,Lyon,France,15
GARE DE VILLEURBANNE,8,14,Lyon,France,15
PLACE VARILLON (FUNICULAIRE ST JUST),2,21,Lyon,France,15
FULCHIRON,12,6,Lyon,France,15
KIMMERLING,0,4,Lyon,France,15
PAUL SANTY,2,14,Lyon,France,15
CITÉ INTERNATIONALE / INTERPOL,9,18,Lyon,France,15
FAURE / DANTON,0,0,Lyon,France,15
BRON - MAIRIE,17,6,Lyon,France,15
QUAI PAUL SÉDALLIAN,13,7,Lyon,France,15
ANATOLE FRANCE,10,0,Lyon,France,15
PERRACHE / PETIT,3,15,Lyon,France,15
CHAMPVERT,0,0,Lyon,France,15
PLACE DES ARCHIVES,2,37,Lyon,France,15
STALINGRAD,19,1,Lyon,France,15
BATAILLE / KRÜGER,15,3,Lyon,France,15
ETATS-UNIS / VIVIANI,2,18,Lyon,France,15
COUZON - CENTRE,9,8,Lyon,France,15
ETATS-UNIS / LÉVIGNE,5,16,Lyon,France,15
THÉÂTRE NOUVELLE GÉNÉRATION,4,12,Lyon,France,15
VÉNISSIEUX - LÉVY / VIENNE,9,9,Lyon,France,15
JACQUARD / DENFERT-ROCHEREAU,1,12,Lyon,France,15
ROSA PARKS,4,6,Lyon,France,15
PIATON / CONDORCET,15,4,Lyon,France,15
MÉMOIRE ET SOCIÉTÉ,1,23,Lyon,France,15
PLACE FLAMMARION,2,15,Lyon,France,15
PLACE TOLOZAN,6,30,Lyon,France,15
ST DIDIER,8,9,Lyon,France,15
FRANCIS DE PRESSENSÉ,0,21,Lyon,France,15
FARGE / AYASSE,1,19,Lyon,France,15
ALLEE DE L'EUROPE,2,10,Lyon,France,15
CHALLEMEL LACOUR / GERLAND,12,0,Lyon,France,15
SERVANT / JABOULAY,14,1,Lyon,France,15
LYCEE LOUISE LABE,3,17,Lyon,France,15
JEAN XXIII,5,10,Lyon,France,15
LES HALLES,12,3,Lyon,France,15
DELORE / AUDIBERT ET LAVIROTTE,0,17,Lyon,France,15
PLACE COMMANDANT  ARNAUD,1,15,Lyon,France,15
LAËNNEC,9,6,Lyon,France,15
DOUA / GASTON BERGER,21,8,Lyon,France,15
SANS SOUCI,14,5,Lyon,France,15
PIZAY,0,21,Lyon,France,15
PRÉFECTURE / SARRAIL,5,14,Lyon,France,15
QUAI AUGAGNEUR,0,18,Lyon,France,15
PONT MASARYK,8,14,Lyon,France,15
CARRET / SÉDALLIAN,7,11,Lyon,France,15
HÉNON,3,18,Lyon,France,15
IUT / FEYSSINE,25,5,Lyon,France,15
BIOPARC,18,5,Lyon,France,15
ALBIGNY - GARE,4,14,Lyon,France,15
VAULX - POUDRETTE / LA SOIE,9,11,Lyon,France,15
PLACE SATHONAY,1,21,Lyon,France,15
PLACE GABRIEL PÉRI,13,10,Lyon,France,15
PLACE ENNEMOND FOUSSERET,2,13,Lyon,France,15
ROCKEFELLER / ESQUIROL,0,0,Lyon,France,15
WOODSTOWER 2025,0,0,Lyon,France,15
POINT DU JOUR / GRANGES,1,12,Lyon,France,15
UNIVERSITÉS LYON III / LYON II,34,3,Lyon,France,15
GARIBALDI,0,11,Lyon,France,15
VIVIER MERLE / PAUL BERT EST,20,0,Lyon,France,15
SAINT PIERRE DE VAISE,11,4,Lyon,France,15
PLACE DU PORT MOUTON,7,11,Lyon,France,15
UNIVERSITÉ LYON III,9,26,Lyon,France,15
POUDRETTE / MUSSET,11,7,Lyon,France,15
PLACE MARÉCHAL LYAUTEY,1,16,Lyon,France,15
STE FOY - PLACE ST LUC,1,14,Lyon,France,15
CHARLES HERNU,5,14,Lyon,France,15
VALDO / RIVET,0,18,Lyon,France,15
SAINT-FONS - GARE,6,9,Lyon,France,15
ST ANTOINE / GRENETTE,15,8,Lyon,France,15
PLACE LOUISE,0,16,Lyon,France,15
ROCARD OCTAVIE,2,23,Lyon,France,15
CHILDEBERT / RIVIÈRE,22,1,Lyon,France,15
VAILLANT / PERRONCEL,1,16,Lyon,France,15
OULLINS - PONT BLANC,6,18,Lyon,France,15
PARC DES BERGES,1,24,Lyon,France,15
PLACE DE L'ECOLE,16,12,Lyon,France,15
VENISSIEUX - COBLOD,14,1,Lyon,France,15
PLACE LEBRET,0,11,Lyon,France,15
VIABERT / THIERS,7,9,Lyon,France,15
MUSÉE DES CONFLUENCES,3,17,Lyon,France,15
PLACE D'ARSONVAL,26,4,Lyon,France,15
CHARPENNES,13,32,Lyon,France,15
PARC DU CENTRE,0,0,Lyon,France,15
MANGINI,11,13,Lyon,France,15
MASSÉNA,10,17,Lyon,France,15
BOIRON GRANGER,12,3,Lyon,France,15
SALENGRO / VAILLANT,0,24,Lyon,France,15
CLOS SAVARON,5,14,Lyon,France,15
GAMBETTA / GARIBALDI,3,36,Lyon,France,15
CRÉQUI / LAFAYETTE,13,0,Lyon,France,15
PLACE ANTONIN PONCET,14,26,Lyon,France,15
PLACE DE TRION,1,14,Lyon,France,15
PLACE MARENGO,0,26,Lyon,France,15
ST FONS - ARSENAL,8,19,Lyon,France,15
ST CYR,4,8,Lyon,France,15
RILLIEUX - CANELLAS,7,5,Lyon,France,15
PLACE SAINT LOUIS,3,12,Lyon,France,15
TOLSTOÏ / FLORIAN,1,19,Lyon,France,15
FELIX FAURE / VIVIER MERLE,20,11,Lyon,France,15
SAXE / DUNOIR,22,15,Lyon,France,15
PART-DIEU/POMPIDOU,39,1,Lyon,France,15
PLACE JULES FERRY,12,7,Lyon,France,15
PIERRE BÉNITE - EUROPE,8,7,Lyon,France,15
GAILLETON,13,1,Lyon,France,15
OULLINS - GARE,27,12,Lyon,France,15
GERLAND,34,6,Lyon,France,15
RÉPUBLIQUE / FERRANDIÈRE,17,8,Lyon,France,15
FOCH,6,13,Lyon,France,15
MUSÉE D'ART CONTEMPORAIN,23,0,Lyon,France,15
BEL AIR / LES BROSSES,18,2,Lyon,France,15
SAINTE-BLANDINE,7,9,Lyon,France,15
PLACE GERSON,1,19,Lyon,France,15
ST PRIEST - PARC TECHNOLOGIQUE,13,7,Lyon,France,15
CLAUDE BERNARD LYON I,1,15,Lyon,France,15
CALUIRE - GARE DE CUIRE,0,0,Lyon,France,15
11 NOVEMBRE / GASTON BERGER,31,4,Lyon,France,15
MAIRIE DU 6E,4,18,Lyon,France,15
CHAMPAGNE - MAIRIE,4,11,Lyon,France,15
PLACE D'HELVÉTIE,0,30,Lyon,France,15
BROTTEAUX / VAUBAN,14,1,Lyon,France,15
JACQUES BREL,12,10,Lyon,France,15
BAUDIN / ZOLA,14,2,Lyon,France,15
BALMONT,2,10,Lyon,France,15
PLACE DU 8 MAI 1945,1,19,Lyon,France,15
HACHETTE,0,0,Lyon,France,15
L'ILE BARBE,6,10,Lyon,France,15
MERMOZ / PINEL,8,15,Lyon,France,15
PERRIN / JEAN JAURÈS,2,31,Lyon,France,15
SAINT JEAN CANAL,8,4,Lyon,France,15
QUARTIER GENERAL FRERE,15,15,Lyon,France,15
PLACE GUICHARD,14,2,Lyon,France,15
