name,free_bikes,empty_slots,city,country,position
Argenson - Château,10,14,Paris,France,8
Saint Lambert - Blomet,6,20,Paris,France,8
Saint-Maur - République,15,21,Paris,France,8
Mairie de Rosny-sous-Bois,21,9,Paris,France,8
Mouton Duvernet - Général Leclerc,3,24,Paris,France,8
Pernety - Raymond Losserand,2,30,Paris,France,8
Champs de Manoeuvre - Cartoucherie,27,7,Paris,France,8
Belleville - Télégraphe,6,35,Paris,France,8
Abbeville - Faubourg Poissonnière,2,12,Paris,France,8
Porte de Pantin.,11,20,Paris,France,8
Passy - Place du Costa Rica,2,30,Paris,France,8
Miromesnil - La Boétie,18,17,Paris,France,8
Place Etienne Pernet,3,35,Paris,France,8
Bons Raisins - Voltaire,6,18,Paris,France,8
Saint-Augustin,8,35,Paris,France,8
Lecourbe - Jean Maridor,15,3,Paris,France,8
Colonel Monteil - Brune,2,17,Paris,France,8
République - Auguste Perret,16,13,Paris,France,8
Marcel Pourtout - Édouard Manet ,18,6,Paris,France,8
Port Royal - Hôpital Cochin,6,17,Paris,France,8
Adolphe Pinard - Victor Hugo,14,37,Paris,France,8
Claude Decaen - Cannebière,5,39,Paris,France,8
Pierre et Marie Curie - Maurice Thorez,17,10,Paris,France,8
Mornay - Sully,12,3,Paris,France,8
Suzanne Masson,34,2,Paris,France,8
Legendre - Clichy,3,35,Paris,France,8
Place Charles de Gaulle,2,22,Paris,France,8
Roquette - Auguste Laurent,10,5,Paris,France,8
Bridaine - Lamandé,1,28,Paris,France,8
Ney - Porte de Montmartre,7,16,Paris,France,8
Place du Canada,15,42,Paris,France,8
Francoeur - Marcadet,2,18,Paris,France,8
Georges V - François 1er,3,19,Paris,France,8
Gare de Pont-Cardinet,11,21,Paris,France,8
Square Pierre Lazareff,5,9,Paris,France,8
Marceau - Chaillot,3,15,Paris,France,8
Vaugirard - Monsieur le Prince,4,20,Paris,France,8
Edouard Vaillant - Galliéni,4,44,Paris,France,8
Gare Rosny-Bois-Perrier,24,10,Paris,France,8
Condorcet - Turgot,2,18,Paris,France,8
Cordelières - Arago,23,22,Paris,France,8
Le Brix et Mesmin - Jourdan,1,19,Paris,France,8
Mairie du 2ème,11,17,Paris,France,8
Philippe-Auguste,8,40,Paris,France,8
Charles Delescluze,35,10,Paris,France,8
Place de la Montagne du Goulet,18,1,Paris,France,8
Place de la Madeleine - Royale,13,29,Paris,France,8
Geoffroy-Saint-Hilaire - Saint-Marcel,8,9,Paris,France,8
Le Corbusier - Jean Jaurès,22,21,Paris,France,8
Lorraine - Jean Jaurès,4,14,Paris,France,8
Mairie,1,19,Paris,France,8
Raspail - Bac,6,44,Paris,France,8
Raymond Poincaré - Allée de la Marche,0,22,Paris,France,8
Place Tristan Bernard,3,25,Paris,France,8
Cité Vaneau,10,16,Paris,France,8
Edgar Quinet - Gaité,8,19,Paris,France,8
Romainville - Vaillant-Couturier,5,31,Paris,France,8
Surcouf - Université,18,36,Paris,France,8
Vaugirard - Pasteur,1,20,Paris,France,8
Jean Calvin - Tournefort,7,20,Paris,France,8
Mozart - Jasmin,2,60,Paris,France,8
Hippodrome de Longchamp,21,7,Paris,France,8
Théophile Gautier - François Millet,23,6,Paris,France,8
Porte de Clignancourt - Ney,10,29,Paris,France,8
Plantes - Moulin Vert,3,40,Paris,France,8
Porte de Clichy - Place des Nations Unies,16,22,Paris,France,8
Champ de Mars - Cler,24,15,Paris,France,8
Vaneau - Sèvres,11,24,Paris,France,8
Marcelle - Thalie,2,18,Paris,France,8
Danielle Casanova - Place Vendôme,16,20,Paris,France,8
Westermeyer - Paul Vaillant-Couturier,23,3,Paris,France,8
Boyer - Ménilmontant,0,18,Paris,France,8
Argenteuil - Voltaire,5,8,Paris,France,8
