name,free_bikes,empty_slots,city,country,position
Langkaia,11,1,Oslo,Norway,15
Spikersuppa Vest,33,8,Oslo,Norway,15
Vippetangen vest,10,20,Oslo,Norway,15
Kjeld Stubs gate,10,1,Oslo,Norway,15
Studentparlamentet,0,29,Oslo,Norway,15
Kirkeveien,0,24,Oslo,Norway,15
Blindern vgs,0,19,Oslo,Norway,15
Kværnerbyen,20,10,Oslo,Norway,15
Elgsletta,4,24,Oslo,Norway,15
Bislett Stadion,4,19,Oslo,Norway,15
Bjølsen Studentby,0,21,Oslo,Norway,15
Tordenskiolds gate,21,3,Oslo,Norway,15
Griffenfeldts gate,0,14,Oslo,Norway,15
Aker Brygge 2 mot Rådhusplassen,6,17,Oslo,Norway,15
Munkegata,15,7,Oslo,Norway,15
Bøkkerveien,0,14,Oslo,Norway,15
Sagene bussholdeplass,0,15,Oslo,Norway,15
Bjerregaards gate,4,15,Oslo,Norway,15
Norsk Folkemuseum,13,12,Oslo,Norway,15
St. Hanshaugen park sør,0,12,Oslo,Norway,15
Rostockgata,10,8,Oslo,Norway,15
Dokkveien,9,6,Oslo,Norway,15
Karenslyst allé,12,21,Oslo,Norway,15
Økern T-bane,0,11,Oslo,Norway,15
Vestre Aker Kirke,0,18,Oslo,Norway,15
Dælenenggata,1,17,Oslo,Norway,15
Suhms gate,0,20,Oslo,Norway,15
Torshovdalen øst,8,19,Oslo,Norway,15
The Hub,1,20,Oslo,Norway,15
Vålerenga,0,20,Oslo,Norway,15
Oslo Handelsgymnasium,5,20,Oslo,Norway,15
Bjørvika,14,15,Oslo,Norway,15
Landstads gate,18,9,Oslo,Norway,15
Hasle,0,29,Oslo,Norway,15
Trelastgata,13,5,Oslo,Norway,15
Hydroparken,13,16,Oslo,Norway,15
Marienlystparken,0,23,Oslo,Norway,15
Frøen T-bane,0,15,Oslo,Norway,15
Hausmanns gate,17,3,Oslo,Norway,15
Lille Grensen,12,3,Oslo,Norway,15
Tøyenbekken,14,16,Oslo,Norway,15
Vår Frelsers gravlund,0,18,Oslo,Norway,15
Tannlegehøyskolen,0,15,Oslo,Norway,15
Salt,15,0,Oslo,Norway,15
Kontraskjæret,8,4,Oslo,Norway,15
Huk 1,19,8,Oslo,Norway,15
Dyvekes bru,2,10,Oslo,Norway,15
Tåsenløkka,0,18,Oslo,Norway,15
HasleLinje,0,12,Oslo,Norway,15
Jordalgata,1,23,Oslo,Norway,15
Botanisk Hage vest,3,24,Oslo,Norway,15
Bak Niels Treschows hus sør,2,40,Oslo,Norway,15
Sjøsiden 2 ved fontenen,22,26,Oslo,Norway,15
Colbjørnsens gate,1,17,Oslo,Norway,15
Grønlands torg,14,1,Oslo,Norway,15
Ringnes Park,0,16,Oslo,Norway,15
Sentrum Scene,3,21,Oslo,Norway,15
Tiedemannsparken,0,25,Oslo,Norway,15
Stavangergata,9,21,Oslo,Norway,15
Hoff terrasse holdeplass,1,23,Oslo,Norway,15
Hallings gate,1,23,Oslo,Norway,15
Lindern,0,21,Oslo,Norway,15
Thereses gate,0,9,Oslo,Norway,15
Klingenberggata,15,0,Oslo,Norway,15
Uranienborgparken,1,14,Oslo,Norway,15
Myraløkka Øst,1,13,Oslo,Norway,15
Badebakken,0,18,Oslo,Norway,15
Krebs' gate,0,18,Oslo,Norway,15
Paléhaven,42,6,Oslo,Norway,15
Storo Storsenter,20,22,Oslo,Norway,15
Domus Athletica,0,30,Oslo,Norway,15
St. Hanshaugen park nord,0,15,Oslo,Norway,15
BI Nydalen,1,41,Oslo,Norway,15
Sinsen T-bane,0,24,Oslo,Norway,15
Schous plass trikkestopp,19,1,Oslo,Norway,15
Borgenveien,7,3,Oslo,Norway,15
Valkyrieplassen,0,12,Oslo,Norway,15
Olaf Ryes plass,22,13,Oslo,Norway,15
Anker Hotel,13,4,Oslo,Norway,15
Skillebekk,4,11,Oslo,Norway,15
Pilestredet,0,18,Oslo,Norway,15
Sofienbergparken sør,10,2,Oslo,Norway,15
Carl Berners plass nord,0,20,Oslo,Norway,15
Lille Schous plass,6,0,Oslo,Norway,15
Økernveien,0,18,Oslo,Norway,15
Kværnerveien,2,4,Oslo,Norway,15
Studenterlunden,14,1,Oslo,Norway,15
Valle Vision,0,21,Oslo,Norway,15
Jens Bjelkes Gate,19,1,Oslo,Norway,15
Finnmarksgata,0,15,Oslo,Norway,15
Colletts gate,0,21,Oslo,Norway,15
Elisenberg,1,14,Oslo,Norway,15
Kirkegata 15,12,0,Oslo,Norway,15
Thune,2,19,Oslo,Norway,15
Carl Berners plass sør,4,8,Oslo,Norway,15
Hedmarksgata,0,18,Oslo,Norway,15
Filipstadveien,18,20,Oslo,Norway,15
7. juni-plassen,16,4,Oslo,Norway,15
Fredensborg,12,2,Oslo,Norway,15
Frogner Tennisklubb,0,14,Oslo,Norway,15
Frogner plass,6,10,Oslo,Norway,15
Arendalsgata,0,23,Oslo,Norway,15
Bislettgata,8,32,Oslo,Norway,15
Sjølyst,3,15,Oslo,Norway,15
Vippetangen øst,8,7,Oslo,Norway,15
Annette Thommessens Plass,10,1,Oslo,Norway,15
Colletts gate 31,4,11,Oslo,Norway,15
Fysikkbygningen,0,45,Oslo,Norway,15
Sofienbergparken nord,2,30,Oslo,Norway,15
Kirkeristen,1,23,Oslo,Norway,15
Hoffsveien,10,8,Oslo,Norway,15
Munkedamsveien,11,10,Oslo,Norway,15
Briskeby,0,14,Oslo,Norway,15
Georg Morgenstiernes hus,0,44,Oslo,Norway,15
Aker Brygge 3 mot Fergene,5,9,Oslo,Norway,15
Stortingstunnelen,14,9,Oslo,Norway,15
Adamstuen,0,8,Oslo,Norway,15
Alexander Kiellands Plass,0,22,Oslo,Norway,15
Nydalen,0,18,Oslo,Norway,15
Vulkan,17,0,Oslo,Norway,15
Brugata,13,5,Oslo,Norway,15
Mølleparken,3,21,Oslo,Norway,15
OsloMet,4,20,Oslo,Norway,15
Tåsen Senter,0,21,Oslo,Norway,15
Rolf Wickstrøms vei,0,19,Oslo,Norway,15
