name,free_bikes,empty_slots,city,country,position
Langkaia,4,7,Oslo,Norway,14
Spikersuppa Vest,18,10,Oslo,Norway,14
Vippetangen vest,1,28,Oslo,Norway,14
Kjeld Stubs gate,8,4,Oslo,Norway,14
Studentparlamentet,2,28,Oslo,Norway,14
Kirkeveien,1,22,Oslo,Norway,14
Blindern vgs,4,16,Oslo,Norway,14
Kværnerbyen,23,6,Oslo,Norway,14
Elgsletta,17,12,Oslo,Norway,14
Bislett Stadion,11,12,Oslo,Norway,14
Bjølsen Studentby,1,19,Oslo,Norway,14
Tordenskiolds gate,16,8,Oslo,Norway,14
Griffenfeldts gate,5,8,Oslo,Norway,14
Aker Brygge 2 mot Rådhusplassen,4,19,Oslo,Norway,14
Munkegata,11,13,Oslo,Norway,14
Bøkkerveien,0,15,Oslo,Norway,14
Sagene bussholdeplass,4,8,Oslo,Norway,14
Bjerregaards gate,6,15,Oslo,Norway,14
Norsk Folkemuseum,5,22,Oslo,Norway,14
St. Hanshaugen park sør,4,8,Oslo,Norway,14
Rostockgata,15,3,Oslo,Norway,14
Karenslyst allé,17,17,Oslo,Norway,14
Vestre Aker Kirke,0,19,Oslo,Norway,14
Dælenenggata,20,0,Oslo,Norway,14
Suhms gate,5,15,Oslo,Norway,14
Torshovdalen øst,13,14,Oslo,Norway,14
The Hub,2,19,Oslo,Norway,14
Vålerenga,1,20,Oslo,Norway,14
Oslo Handelsgymnasium,2,25,Oslo,Norway,14
Bjørvika,5,24,Oslo,Norway,14
Landstads gate,15,12,Oslo,Norway,14
Hasle,17,10,Oslo,Norway,14
Trelastgata,10,8,Oslo,Norway,14
Hydroparken,6,23,Oslo,Norway,14
Marienlystparken,2,21,Oslo,Norway,14
Frøen T-bane,1,14,Oslo,Norway,14
Hausmanns gate,3,18,Oslo,Norway,14
Lille Grensen,11,3,Oslo,Norway,14
Tøyenbekken,14,15,Oslo,Norway,14
Vår Frelsers gravlund,2,15,Oslo,Norway,14
Tannlegehøyskolen,1,13,Oslo,Norway,14
Salt,7,8,Oslo,Norway,14
Huk 1,0,26,Oslo,Norway,14
Dyvekes bru,6,6,Oslo,Norway,14
Tåsenløkka,1,16,Oslo,Norway,14
HasleLinje,0,7,Oslo,Norway,14
Jordalgata,21,3,Oslo,Norway,14
Botanisk Hage vest,15,11,Oslo,Norway,14
Bak Niels Treschows hus sør,0,41,Oslo,Norway,14
Sjøsiden,3,7,Oslo,Norway,14
Colbjørnsens gate,6,12,Oslo,Norway,14
Grønlands torg,15,0,Oslo,Norway,14
Ringnes Park,9,5,Oslo,Norway,14
Sentrum Scene,8,16,Oslo,Norway,14
Tiedemannsparken,1,24,Oslo,Norway,14
Stavangergata,1,29,Oslo,Norway,14
Hoff terrasse holdeplass,19,5,Oslo,Norway,14
Hallings gate,8,16,Oslo,Norway,14
Lindern,0,19,Oslo,Norway,14
Thereses gate,0,8,Oslo,Norway,14
Klingenberggata,8,6,Oslo,Norway,14
Uranienborgparken,2,13,Oslo,Norway,14
Myraløkka Øst,3,11,Oslo,Norway,14
Badebakken,0,17,Oslo,Norway,14
Krebs' gate,6,12,Oslo,Norway,14
Storo Storsenter,1,19,Oslo,Norway,14
Domus Athletica,0,30,Oslo,Norway,14
St. Hanshaugen park nord,2,13,Oslo,Norway,14
BI Nydalen,2,39,Oslo,Norway,14
Sinsen T-bane,1,23,Oslo,Norway,14
Schous plass trikkestopp,14,5,Oslo,Norway,14
Borgenveien,2,5,Oslo,Norway,14
Valkyrieplassen,0,12,Oslo,Norway,14
Olaf Ryes plass,20,13,Oslo,Norway,14
Anker Hotel,18,0,Oslo,Norway,14
Skillebekk,9,6,Oslo,Norway,14
Pilestredet,5,12,Oslo,Norway,14
Sofienbergparken sør,5,4,Oslo,Norway,14
Carl Berners plass nord,2,18,Oslo,Norway,14
Lille Schous plass,6,0,Oslo,Norway,14
Økernveien,10,8,Oslo,Norway,14
Kværnerveien,2,4,Oslo,Norway,14
Studenterlunden,12,2,Oslo,Norway,14
Valle Vision,1,20,Oslo,Norway,14
Jens Bjelkes Gate,12,7,Oslo,Norway,14
Finnmarksgata,8,7,Oslo,Norway,14
Colletts gate,1,20,Oslo,Norway,14
Elisenberg,4,11,Oslo,Norway,14
Kirkegata 15,1,10,Oslo,Norway,14
Thune,8,12,Oslo,Norway,14
Carl Berners plass sør,4,8,Oslo,Norway,14
Hedmarksgata,6,12,Oslo,Norway,14
Filipstadveien,25,13,Oslo,Norway,14
7. juni-plassen,15,5,Oslo,Norway,14
Fredensborg,12,1,Oslo,Norway,14
Frogner Tennisklubb,11,4,Oslo,Norway,14
Frogner plass,3,15,Oslo,Norway,14
Arendalsgata,0,23,Oslo,Norway,14
Bislettgata,17,19,Oslo,Norway,14
Sjølyst,14,3,Oslo,Norway,14
Vippetangen øst,1,14,Oslo,Norway,14
Annette Thommessens Plass,0,11,Oslo,Norway,14
Colletts gate 31,4,10,Oslo,Norway,14
Fysikkbygningen,0,45,Oslo,Norway,14
Sofienbergparken nord,18,15,Oslo,Norway,14
Kirkeristen,1,22,Oslo,Norway,14
Hoffsveien,6,12,Oslo,Norway,14
Briskeby,3,12,Oslo,Norway,14
Georg Morgenstiernes hus,0,45,Oslo,Norway,14
Aker Brygge 3 mot Fergene,4,7,Oslo,Norway,14
Stortingstunnelen,8,13,Oslo,Norway,14
Adamstuen,3,5,Oslo,Norway,14
Alexander Kiellands Plass,21,1,Oslo,Norway,14
Nydalen,2,16,Oslo,Norway,14
Vulkan,17,1,Oslo,Norway,14
Brugata,4,14,Oslo,Norway,14
OsloMet,3,21,Oslo,Norway,14
Tåsen Senter,0,21,Oslo,Norway,14
Rolf Wickstrøms vei,2,18,Oslo,Norway,14
Majorstuen,2,16,Oslo,Norway,14
Lørenporten,16,4,Oslo,Norway,14
Blindern Studenthus,0,24,Oslo,Norway,14
Jarlsborgveien,4,14,Oslo,Norway,14
Krohgstøtten hospital,9,2,Oslo,Norway,14
Leirfallsgata,14,1,Oslo,Norway,14
Arkitekt Rivertz Plass,8,22,Oslo,Norway,14
Ila,0,18,Oslo,Norway,14
St. Hanshaugen,5,7,Oslo,Norway,14
Brynseng T-bane,3,18,Oslo,Norway,14
Via Vika,9,6,Oslo,Norway,14
Vestkanttorvet,6,9,Oslo,Norway,14
Friggfeltet,9,11,Oslo,Norway,14
Stensparken,7,8,Oslo,Norway,14
Lørenveien,4,16,Oslo,Norway,14
Helga Helgesens plass,12,10,Oslo,Norway,14
Bak Niels Treschows hus nord,0,40,Oslo,Norway,14
Egertorget,10,20,Oslo,Norway,14
Holbergs plass,2,8,Oslo,Norway,14
Mandalls gate,9,1,Oslo,Norway,14
Bentsebrugata,2,21,Oslo,Norway,14
Chr. Michelsens Gate,4,15,Oslo,Norway,14
Professor Aschehougs plass,12,2,Oslo,Norway,14
Thomas Heftyes plass,14,9,Oslo,Norway,14
Hans Nielsen Hauges plass,1,19,Oslo,Norway,14
Hausmanns bru,19,5,Oslo,Norway,14
Jess Carlsens gate,15,0,Oslo,Norway,14
Birkelunden,0,9,Oslo,Norway,14
Nordre gate,17,1,Oslo,Norway,14
Ruseløkkgården,13,10,Oslo,Norway,14
Diakonhjemmet,0,10,Oslo,Norway,14
Sotahjørnet,5,15,Oslo,Norway,14
Skøyen Stasjon,12,8,Oslo,Norway,14
Lakkegata,4,12,Oslo,Norway,14
Stjerneplassen,5,10,Oslo,Norway,14
Blindern T-Bane,0,25,Oslo,Norway,14
Bjølsendumpa,2,17,Oslo,Norway,14
Sørvest for Slottsparken,2,10,Oslo,Norway,14
Lodalen busstopp,2,10,Oslo,Norway,14
Gimle Kino,16,4,Oslo,Norway,14
Spikersuppa Øst,21,20,Oslo,Norway,14
Sofienbergparken nordvest,22,8,Oslo,Norway,14
Huk 2,7,23,Oslo,Norway,14
Botanisk hage sør-vest,21,8,Oslo,Norway,14
Lilleborgbanen,8,28,Oslo,Norway,14
Kampen park Øst,6,14,Oslo,Norway,14
Schwensens gate,4,14,Oslo,Norway,14
Furulund,14,9,Oslo,Norway,14
AHO,15,4,Oslo,Norway,14
Oslo Hospital,14,1,Oslo,Norway,14
Skippergata,10,17,Oslo,Norway,14
Maritimt Museum,0,21,Oslo,Norway,14
Henrik Wergelands allé,5,29,Oslo,Norway,14
Uranienborgveien,4,23,Oslo,Norway,14
Majorstua skole,2,37,Oslo,Norway,14
Universitetsgata,14,0,Oslo,Norway,14
Grünerhagen Nord,14,6,Oslo,Norway,14
Ensjøveien,18,1,Oslo,Norway,14
Mailundveien,4,14,Oslo,Norway,14
Bygdøy allé,5,7,Oslo,Norway,14
Nybrua holdeplass,11,1,Oslo,Norway,14
Tøyenparken,18,11,Oslo,Norway,14
Torggata,11,19,Oslo,Norway,14
Fred Olsens gate,3,24,Oslo,Norway,14
Torshovparken vest,6,18,Oslo,Norway,14
Botanisk Hage sør,1,28,Oslo,Norway,14
Bankplassen,2,36,Oslo,Norway,14
Ullevålsalléen,0,14,Oslo,Norway,14
Hallénparken,5,5,Oslo,Norway,14
Henrik Ibsens gate,9,14,Oslo,Norway,14
Uelands gate,20,14,Oslo,Norway,14
Makrellbekken T,6,12,Oslo,Norway,14
Grenseveien,2,22,Oslo,Norway,14
Marcus Thranes gate,15,14,Oslo,Norway,14
Frognerstranda,18,16,Oslo,Norway,14
Slottsparken Øst,16,24,Oslo,Norway,14
Edvard Storms gate,17,2,Oslo,Norway,14
Galgeberg,9,8,Oslo,Norway,14
