name,free_bikes,empty_slots,city,country,position
Langkaia,12,0,Oslo,Norway,10
Spikersuppa Vest,25,17,Oslo,Norway,10
Vippetangen vest,15,15,Oslo,Norway,10
Kjeld Stubs gate,10,2,Oslo,Norway,10
Studentparlamentet,1,29,Oslo,Norway,10
Kirkeveien,5,19,Oslo,Norway,10
Blindern vgs,0,20,Oslo,Norway,10
Kværnerbyen,1,29,Oslo,Norway,10
Elgsletta,10,20,Oslo,Norway,10
Bislett Stadion,2,22,Oslo,Norway,10
Bjølsen Studentby,0,21,Oslo,Norway,10
Tordenskiolds gate,18,5,Oslo,Norway,10
Griffenfeldts gate,0,15,Oslo,Norway,10
Aker Brygge 2 mot Rådhusplassen,10,14,Oslo,Norway,10
Munkegata,7,17,Oslo,Norway,10
Bøkkerveien,12,3,Oslo,Norway,10
Sagene bussholdeplass,0,15,Oslo,Norway,10
Bjerregaards gate,0,21,Oslo,Norway,10
Norsk Folkemuseum,18,9,Oslo,Norway,10
St. Hanshaugen park sør,0,12,Oslo,Norway,10
Rostockgata,13,5,Oslo,Norway,10
Dokkveien,12,2,Oslo,Norway,10
Karenslyst allé,13,22,Oslo,Norway,10
Økern T-bane,1,10,Oslo,Norway,10
Vestre Aker Kirke,1,18,Oslo,Norway,10
Dælenenggata,1,18,Oslo,Norway,10
Suhms gate,0,21,Oslo,Norway,10
Torshovdalen øst,4,23,Oslo,Norway,10
The Hub,11,10,Oslo,Norway,10
Vålerenga,0,20,Oslo,Norway,10
Oslo Handelsgymnasium,17,10,Oslo,Norway,10
Bjørvika,12,16,Oslo,Norway,10
Landstads gate,1,26,Oslo,Norway,10
Hasle,2,27,Oslo,Norway,10
Trelastgata,11,5,Oslo,Norway,10
Hydroparken,8,22,Oslo,Norway,10
Skarpsnoparken,9,15,Oslo,Norway,10
Marienlystparken,2,22,Oslo,Norway,10
Frøen T-bane,0,15,Oslo,Norway,10
Hausmanns gate,13,7,Oslo,Norway,10
Lille Grensen,13,2,Oslo,Norway,10
Tøyenbekken,18,11,Oslo,Norway,10
Vår Frelsers gravlund,3,15,Oslo,Norway,10
