name,free_bikes,empty_slots,city,country,position
Langkaia,10,2,Oslo,Norway,9
Spikersuppa Vest,12,27,Oslo,Norway,9
Vippetangen vest,4,26,Oslo,Norway,9
Kjeld Stubs gate,5,7,Oslo,Norway,9
Studentparlamentet,1,29,Oslo,Norway,9
Kirkeveien,0,24,Oslo,Norway,9
Blindern vgs,0,19,Oslo,Norway,9
Kværnerbyen,13,16,Oslo,Norway,9
Elgsletta,11,19,Oslo,Norway,9
Bislett Stadion,2,22,Oslo,Norway,9
Bjølsen Studentby,0,20,Oslo,Norway,9
Tordenskiolds gate,15,9,Oslo,Norway,9
Griffenfeldts gate,2,10,Oslo,Norway,9
Aker Brygge 2 mot Rådhusplassen,11,6,Oslo,Norway,9
Munkegata,9,15,Oslo,Norway,9
Bøkkerveien,0,15,Oslo,Norway,9
Sagene bussholdeplass,4,11,Oslo,Norway,9
Bjerregaards gate,1,20,Oslo,Norway,9
Norsk Folkemuseum,0,27,Oslo,Norway,9
St. Hanshaugen park sør,1,11,Oslo,Norway,9
Rostockgata,13,4,Oslo,Norway,9
Dokkveien,14,1,Oslo,Norway,9
Karenslyst allé,11,23,Oslo,Norway,9
Økern T-bane,1,11,Oslo,Norway,9
Vestre Aker Kirke,1,18,Oslo,Norway,9
Dælenenggata,5,13,Oslo,Norway,9
Suhms gate,2,19,Oslo,Norway,9
Torshovdalen øst,0,27,Oslo,Norway,9
The Hub,21,0,Oslo,Norway,9
Vålerenga,2,18,Oslo,Norway,9
Oslo Handelsgymnasium,11,16,Oslo,Norway,9
Bjørvika,3,26,Oslo,Norway,9
Landstads gate,24,0,Oslo,Norway,9
Hasle,16,14,Oslo,Norway,9
Trelastgata,14,4,Oslo,Norway,9
Hydroparken,11,17,Oslo,Norway,9
Skarpsnoparken,7,17,Oslo,Norway,9
Marienlystparken,0,24,Oslo,Norway,9
Frøen T-bane,0,15,Oslo,Norway,9
Hausmanns gate,1,20,Oslo,Norway,9
Lille Grensen,13,2,Oslo,Norway,9
Tøyenbekken,13,15,Oslo,Norway,9
Vår Frelsers gravlund,1,16,Oslo,Norway,9
Tannlegehøyskolen,1,14,Oslo,Norway,9
Salt,8,7,Oslo,Norway,9
Kontraskjæret,5,7,Oslo,Norway,9
Huk 1,11,15,Oslo,Norway,9
Dyvekes bru,8,3,Oslo,Norway,9
Tåsenløkka,1,17,Oslo,Norway,9
HasleLinje,0,12,Oslo,Norway,9
Jordalgata,23,0,Oslo,Norway,9
Botanisk Hage vest,4,23,Oslo,Norway,9
Bak Niels Treschows hus sør,0,42,Oslo,Norway,9
Sjøsiden 2 ved fontenen,3,45,Oslo,Norway,9
Colbjørnsens gate,2,16,Oslo,Norway,9
Grønlands torg,12,3,Oslo,Norway,9
Ringnes Park,2,16,Oslo,Norway,9
Sentrum Scene,14,10,Oslo,Norway,9
Tiedemannsparken,1,24,Oslo,Norway,9
Stavangergata,4,24,Oslo,Norway,9
Hoff terrasse holdeplass,14,10,Oslo,Norway,9
Hallings gate,1,23,Oslo,Norway,9
Lindern,1,20,Oslo,Norway,9
Thereses gate,2,7,Oslo,Norway,9
Klingenberggata,10,5,Oslo,Norway,9
Uranienborgparken,0,15,Oslo,Norway,9
Myraløkka Øst,1,14,Oslo,Norway,9
Badebakken,0,17,Oslo,Norway,9
Krebs' gate,1,17,Oslo,Norway,9
Paléhaven,13,35,Oslo,Norway,9
Storo Storsenter,1,41,Oslo,Norway,9
Domus Athletica,1,29,Oslo,Norway,9
St. Hanshaugen park nord,1,14,Oslo,Norway,9
BI Nydalen,6,36,Oslo,Norway,9
Sinsen T-bane,0,24,Oslo,Norway,9
Schous plass trikkestopp,17,3,Oslo,Norway,9
Borgenveien,1,9,Oslo,Norway,9
Valkyrieplassen,0,12,Oslo,Norway,9
Olaf Ryes plass,22,13,Oslo,Norway,9
Anker Hotel,1,16,Oslo,Norway,9
Skillebekk,14,1,Oslo,Norway,9
Pilestredet,1,17,Oslo,Norway,9
