name,free_bikes,empty_slots,city,country,position
WESTERN WAY,17,23,Dublin,Ireland,8
PRINCES STREET / O'CONNELL STREET,23,0,Dublin,Ireland,8
FITZWILLIAM SQUARE WEST,2,28,Dublin,Ireland,8
BOLTON STREET,0,20,Dublin,Ireland,8
GRANGEGORMAN LOWER (SOUTH),0,40,Dublin,Ireland,8
SMITHFIELD,6,24,Dublin,Ireland,8
YORK STREET EAST,1,31,Dublin,Ireland,8
CLARENDON ROW,1,30,Dublin,Ireland,8
ECCLES STREET EAST,6,21,Dublin,Ireland,8
KING STREET NORTH,2,28,Dublin,Ireland,8
BENSON STREET,2,38,Dublin,Ireland,8
GRANGEGORMAN LOWER (CENTRAL),1,39,Dublin,Ireland,8
ROTHE ABBEY,22,13,Dublin,Ireland,8
CITY QUAY,16,14,Dublin,Ireland,8
CLONMEL STREET,3,30,Dublin,Ireland,8
FITZWILLIAM SQUARE EAST,1,39,Dublin,Ireland,8
PARNELL SQUARE NORTH,2,18,Dublin,Ireland,8
EARLSFORT TERRACE,0,30,Dublin,Ireland,8
PEARSE STREET,28,1,Dublin,Ireland,8
JAMES STREET EAST,0,30,Dublin,Ireland,8
JOHN STREET WEST,4,27,Dublin,Ireland,8
EXCISE WALK,4,36,Dublin,Ireland,8
MOUNTJOY SQUARE EAST,4,36,Dublin,Ireland,8
KILMAINHAM LANE,14,16,Dublin,Ireland,8
FRANCIS STREET,2,28,Dublin,Ireland,8
GRATTAN STREET,7,16,Dublin,Ireland,8
HIGH STREET,17,12,Dublin,Ireland,8
MERRION SQUARE EAST,13,17,Dublin,Ireland,8
HARCOURT TERRACE,5,15,Dublin,Ireland,8
HEUSTON BRIDGE (NORTH),40,0,Dublin,Ireland,8
LEINSTER STREET SOUTH,23,7,Dublin,Ireland,8
GRANGEGORMAN LOWER (NORTH),2,34,Dublin,Ireland,8
THE POINT,2,38,Dublin,Ireland,8
GEORGES QUAY,19,1,Dublin,Ireland,8
BROADSTONE,1,29,Dublin,Ireland,8
HEUSTON STATION (CAR PARK),17,23,Dublin,Ireland,8
PARNELL STREET,2,18,Dublin,Ireland,8
AVONDALE ROAD,20,15,Dublin,Ireland,8
YORK STREET WEST,17,3,Dublin,Ireland,8
DAME STREET,2,14,Dublin,Ireland,8
CHARLEMONT PLACE,36,3,Dublin,Ireland,8
HANOVER QUAY EAST,1,39,Dublin,Ireland,8
PARKGATE STREET,38,0,Dublin,Ireland,8
BROOKFIELD ROAD,24,6,Dublin,Ireland,8
TOWNSEND STREET,18,2,Dublin,Ireland,8
ST JAMES HOSPITAL (LUAS),19,21,Dublin,Ireland,8
SOUTH DOCK ROAD,15,15,Dublin,Ireland,8
MOUNT STREET LOWER,7,32,Dublin,Ireland,8
GEORGES LANE,14,26,Dublin,Ireland,8
BLESSINGTON STREET,12,8,Dublin,Ireland,8
SIR PATRICK DUN'S,25,15,Dublin,Ireland,8
NORTH CIRCULAR ROAD,9,21,Dublin,Ireland,8
MOLESWORTH STREET,8,12,Dublin,Ireland,8
EMMET ROAD,27,13,Dublin,Ireland,8
HARDWICKE PLACE,1,24,Dublin,Ireland,8
MERRION SQUARE SOUTH,26,14,Dublin,Ireland,8
TALBOT STREET,30,10,Dublin,Ireland,8
ST. STEPHEN'S GREEN EAST,10,30,Dublin,Ireland,8
GRAND CANAL DOCK,22,18,Dublin,Ireland,8
MOUNTJOY SQUARE WEST,2,28,Dublin,Ireland,8
FREDERICK STREET SOUTH,9,31,Dublin,Ireland,8
BARROW STREET,10,11,Dublin,Ireland,8
GOLDEN LANE,0,20,Dublin,Ireland,8
MERRION SQUARE WEST,16,4,Dublin,Ireland,8
MOUNT BROWN,3,19,Dublin,Ireland,8
STATION118,0,0,Dublin,Ireland,8
CHRISTCHURCH PLACE,2,18,Dublin,Ireland,8
HEUSTON BRIDGE (SOUTH),25,0,Dublin,Ireland,8
FOWNES STREET UPPER,13,17,Dublin,Ireland,8
GREEK STREET,4,16,Dublin,Ireland,8
GRANTHAM STREET,9,21,Dublin,Ireland,8
WILTON TERRACE,4,16,Dublin,Ireland,8
WILTON TERRACE (PARK),1,39,Dublin,Ireland,8
DEVERELL PLACE,21,9,Dublin,Ireland,8
PHIBSBOROUGH ROAD,12,28,Dublin,Ireland,8
RATHDOWN ROAD,14,26,Dublin,Ireland,8
LIME STREET,0,40,Dublin,Ireland,8
HARDWICKE STREET,2,14,Dublin,Ireland,8
HERBERT STREET,0,40,Dublin,Ireland,8
BUCKINGHAM STREET LOWER,24,5,Dublin,Ireland,8
UPPER SHERRARD STREET,4,26,Dublin,Ireland,8
SMITHFIELD NORTH,12,18,Dublin,Ireland,8
KILMAINHAM GAOL,33,7,Dublin,Ireland,8
MATER HOSPITAL,2,38,Dublin,Ireland,8
NEW CENTRAL BANK,10,30,Dublin,Ireland,8
FENIAN STREET,14,21,Dublin,Ireland,8
ORMOND QUAY UPPER,10,19,Dublin,Ireland,8
OLIVER BOND STREET,13,17,Dublin,Ireland,8
BLACKHALL PLACE,8,22,Dublin,Ireland,8
NEWMAN HOUSE,3,37,Dublin,Ireland,8
COLLINS BARRACKS MUSEUM,8,30,Dublin,Ireland,8
ST. STEPHEN'S GREEN SOUTH,10,20,Dublin,Ireland,8
CATHAL BRUGHA STREET,8,12,Dublin,Ireland,8
CUSTOM HOUSE,29,1,Dublin,Ireland,8
GUILD STREET,24,15,Dublin,Ireland,8
KEVIN STREET,2,38,Dublin,Ireland,8
EXCHEQUER STREET,4,20,Dublin,Ireland,8
HATCH STREET,0,36,Dublin,Ireland,8
JERVIS STREET,16,5,Dublin,Ireland,8
ECCLES STREET,3,17,Dublin,Ireland,8
ROYAL HOSPITAL,24,16,Dublin,Ireland,8
WOLFE TONE STREET,8,21,Dublin,Ireland,8
MARKET STREET SOUTH,24,14,Dublin,Ireland,8
CONVENTION CENTRE,0,40,Dublin,Ireland,8
PORTOBELLO ROAD,12,18,Dublin,Ireland,8
NORTH CIRCULAR ROAD (O'CONNELL'S),20,10,Dublin,Ireland,8
DENMARK STREET GREAT,0,20,Dublin,Ireland,8
HEUSTON STATION (CENTRAL),40,0,Dublin,Ireland,8
HERBERT PLACE,1,29,Dublin,Ireland,8
CHARLEVILLE ROAD,17,23,Dublin,Ireland,8
JAMES STREET,31,9,Dublin,Ireland,8
SANDWITH STREET,15,24,Dublin,Ireland,8
CUSTOM HOUSE QUAY,19,11,Dublin,Ireland,8
HANOVER QUAY,8,32,Dublin,Ireland,8
KILLARNEY STREET,18,12,Dublin,Ireland,8
