name,free_bikes,empty_slots,city,country,position
Langkaia,12,0,Oslo,Norway,2
Spikersuppa Vest,10,15,Oslo,Norway,2
Vippetangen vest,5,25,Oslo,Norway,2
Kjeld Stubs gate,3,9,Oslo,Norway,2
Studentparlamentet,4,26,Oslo,Norway,2
Kirkeveien,7,17,Oslo,Norway,2
Blindern vgs,2,17,Oslo,Norway,2
Kværnerbyen,17,2,Oslo,Norway,2
Elgsletta,3,24,Oslo,Norway,2
Bislett Stadion,12,12,Oslo,Norway,2
Bjølsen Studentby,7,12,Oslo,Norway,2
Tordenskiolds gate,11,12,Oslo,Norway,2
Griffenfeldts gate,4,10,Oslo,Norway,2
Aker Brygge 2 mot Rådhusplassen,15,9,Oslo,Norway,2
Munkegata,23,1,Oslo,Norway,2
Bøkkerveien,1,12,Oslo,Norway,2
Sagene bussholdeplass,2,12,Oslo,Norway,2
Bjerregaards gate,4,15,Oslo,Norway,2
Norsk Folkemuseum,3,21,Oslo,Norway,2
St. Hanshaugen park sør,4,8,Oslo,Norway,2
Rostockgata,15,2,Oslo,Norway,2
Dokkveien,3,12,Oslo,Norway,2
Karenslyst allé,19,15,Oslo,Norway,2
Økern T-bane,2,10,Oslo,Norway,2
Vestre Aker Kirke,2,17,Oslo,Norway,2
Dælenenggata,4,16,Oslo,Norway,2
Suhms gate,4,14,Oslo,Norway,2
Torshovdalen øst,0,27,Oslo,Norway,2
The Hub,14,2,Oslo,Norway,2
Vålerenga,1,19,Oslo,Norway,2
Oslo Handelsgymnasium,8,19,Oslo,Norway,2
Bjørvika,5,24,Oslo,Norway,2
Landstads gate,6,19,Oslo,Norway,2
Hasle,13,17,Oslo,Norway,2
Trelastgata,10,7,Oslo,Norway,2
Hydroparken,22,8,Oslo,Norway,2
Marienlystparken,2,17,Oslo,Norway,2
Frøen T-bane,4,11,Oslo,Norway,2
Hausmanns gate,8,13,Oslo,Norway,2
Lille Grensen,4,10,Oslo,Norway,2
Tøyenbekken,18,11,Oslo,Norway,2
Vår Frelsers gravlund,7,11,Oslo,Norway,2
Tannlegehøyskolen,3,12,Oslo,Norway,2
Salt,13,0,Oslo,Norway,2
Kontraskjæret,5,7,Oslo,Norway,2
Huk 1,10,16,Oslo,Norway,2
Dyvekes bru,10,1,Oslo,Norway,2
Tåsenløkka,4,13,Oslo,Norway,2
HasleLinje,10,1,Oslo,Norway,2
Jordalgata,16,8,Oslo,Norway,2
Botanisk Hage vest,8,18,Oslo,Norway,2
Bak Niels Treschows hus sør,2,40,Oslo,Norway,2
Sjøsiden,9,0,Oslo,Norway,2
Colbjørnsens gate,3,15,Oslo,Norway,2
Grønlands torg,12,1,Oslo,Norway,2
Ringnes Park,14,4,Oslo,Norway,2
Sentrum Scene,6,16,Oslo,Norway,2
Tiedemannsparken,3,20,Oslo,Norway,2
Stavangergata,8,19,Oslo,Norway,2
Hoff terrasse holdeplass,18,5,Oslo,Norway,2
Hallings gate,1,22,Oslo,Norway,2
Lindern,0,19,Oslo,Norway,2
Thereses gate,1,7,Oslo,Norway,2
Klingenberggata,8,7,Oslo,Norway,2
Uranienborgparken,3,11,Oslo,Norway,2
Myraløkka Øst,5,10,Oslo,Norway,2
Badebakken,2,16,Oslo,Norway,2
Krebs' gate,1,17,Oslo,Norway,2
Storo Storsenter,3,17,Oslo,Norway,2
Domus Athletica,5,25,Oslo,Norway,2
St. Hanshaugen park nord,1,14,Oslo,Norway,2
BI Nydalen,35,2,Oslo,Norway,2
Sinsen T-bane,16,7,Oslo,Norway,2
Schous plass trikkestopp,19,0,Oslo,Norway,2
Borgenveien,6,4,Oslo,Norway,2
Valkyrieplassen,4,8,Oslo,Norway,2
Olaf Ryes plass,18,15,Oslo,Norway,2
Anker Hotel,18,0,Oslo,Norway,2
Skillebekk,14,0,Oslo,Norway,2
Pilestredet,2,16,Oslo,Norway,2
Sofienbergparken sør,10,0,Oslo,Norway,2
Carl Berners plass nord,2,19,Oslo,Norway,2
Lille Schous plass,5,0,Oslo,Norway,2
Økernveien,12,6,Oslo,Norway,2
Kværnerveien,6,0,Oslo,Norway,2
Studenterlunden,8,5,Oslo,Norway,2
Valle Vision,2,19,Oslo,Norway,2
Jens Bjelkes Gate,18,2,Oslo,Norway,2
Finnmarksgata,8,7,Oslo,Norway,2
Colletts gate,3,18,Oslo,Norway,2
Elisenberg,4,10,Oslo,Norway,2
Kirkegata 15,4,7,Oslo,Norway,2
Thune,3,18,Oslo,Norway,2
Carl Berners plass sør,1,11,Oslo,Norway,2
Hedmarksgata,12,4,Oslo,Norway,2
Filipstadveien,10,29,Oslo,Norway,2
7. juni-plassen,14,6,Oslo,Norway,2
Fredensborg,10,3,Oslo,Norway,2
Frogner Tennisklubb,7,8,Oslo,Norway,2
Frogner plass,5,13,Oslo,Norway,2
Arendalsgata,3,19,Oslo,Norway,2
Bislettgata,9,30,Oslo,Norway,2
Sjølyst,9,8,Oslo,Norway,2
Vippetangen øst,2,12,Oslo,Norway,2
Annette Thommessens Plass,8,3,Oslo,Norway,2
Colletts gate 31,1,14,Oslo,Norway,2
Fysikkbygningen,2,42,Oslo,Norway,2
Sofienbergparken nord,20,12,Oslo,Norway,2
Kirkeristen,13,10,Oslo,Norway,2
Hoffsveien,17,0,Oslo,Norway,2
Munkedamsveien,7,13,Oslo,Norway,2
Briskeby,2,13,Oslo,Norway,2
Georg Morgenstiernes hus,2,43,Oslo,Norway,2
Aker Brygge 3 mot Fergene,6,5,Oslo,Norway,2
Stortingstunnelen,5,17,Oslo,Norway,2
Adamstuen,4,3,Oslo,Norway,2
Alexander Kiellands Plass,7,15,Oslo,Norway,2
Nydalen,0,17,Oslo,Norway,2
Vulkan,15,1,Oslo,Norway,2
Brugata,10,7,Oslo,Norway,2
Mølleparken,18,7,Oslo,Norway,2
OsloMet,1,23,Oslo,Norway,2
Tåsen Senter,3,18,Oslo,Norway,2
Rolf Wickstrøms vei,0,20,Oslo,Norway,2
Majorstuen,6,12,Oslo,Norway,2
Lørenporten,1,19,Oslo,Norway,2
Riddervoldplass,0,14,Oslo,Norway,2
Blindern Studenthus,3,20,Oslo,Norway,2
Jarlsborgveien,3,15,Oslo,Norway,2
Krohgstøtten hospital,12,0,Oslo,Norway,2
Leirfallsgata,13,0,Oslo,Norway,2
Ila,2,16,Oslo,Norway,2
St. Hanshaugen,1,11,Oslo,Norway,2
Brynseng T-bane,1,19,Oslo,Norway,2
Via Vika,13,2,Oslo,Norway,2
Vestkanttorvet,2,11,Oslo,Norway,2
Friggfeltet,8,13,Oslo,Norway,2
Stensparken,4,11,Oslo,Norway,2
Lørenveien,11,9,Oslo,Norway,2
Helga Helgesens plass,13,10,Oslo,Norway,2
Bak Niels Treschows hus nord,0,40,Oslo,Norway,2
Majorstuveien,1,6,Oslo,Norway,2
Egertorget,18,12,Oslo,Norway,2
Holbergs plass,0,9,Oslo,Norway,2
Mandalls gate,8,1,Oslo,Norway,2
Bentsebrugata,3,20,Oslo,Norway,2
Chr. Michelsens Gate,0,18,Oslo,Norway,2
Professor Aschehougs plass,7,6,Oslo,Norway,2
Thomas Heftyes plass,15,8,Oslo,Norway,2
Hans Nielsen Hauges plass,3,16,Oslo,Norway,2
Arkaden Nord,6,24,Oslo,Norway,2
Hausmanns bru,7,17,Oslo,Norway,2
Jess Carlsens gate,13,0,Oslo,Norway,2
Birkelunden,5,4,Oslo,Norway,2
Nordre gate,16,2,Oslo,Norway,2
Ruseløkkgården,14,10,Oslo,Norway,2
Diakonhjemmet,2,8,Oslo,Norway,2
Sotahjørnet,4,16,Oslo,Norway,2
Skøyen Stasjon,23,7,Oslo,Norway,2
Lakkegata,1,16,Oslo,Norway,2
Stjerneplassen,13,0,Oslo,Norway,2
Blindern T-Bane,1,24,Oslo,Norway,2
Bjølsendumpa,0,20,Oslo,Norway,2
Sørvest for Slottsparken,0,12,Oslo,Norway,2
