name,free_bikes,empty_slots,city,country,position
WESTERN WAY,13,27,Dublin,Ireland,10
PRINCES STREET / O'CONNELL STREET,22,0,Dublin,Ireland,10
FITZWILLIAM SQUARE WEST,1,29,Dublin,Ireland,10
BOLTON STREET,11,9,Dublin,Ireland,10
GRANGEGORMAN LOWER (SOUTH),19,21,Dublin,Ireland,10
SMITHFIELD,17,13,Dublin,Ireland,10
YORK STREET EAST,7,25,Dublin,Ireland,10
CLARENDON ROW,4,27,Dublin,Ireland,10
ECCLES STREET EAST,1,26,Dublin,Ireland,10
KING STREET NORTH,3,27,Dublin,Ireland,10
BENSON STREET,5,35,Dublin,Ireland,10
GRANGEGORMAN LOWER (CENTRAL),15,25,Dublin,Ireland,10
ROTHE ABBEY,32,3,Dublin,Ireland,10
CITY QUAY,1,29,Dublin,Ireland,10
CLONMEL STREET,3,30,Dublin,Ireland,10
FITZWILLIAM SQUARE EAST,0,40,Dublin,Ireland,10
EARLSFORT TERRACE,10,20,Dublin,Ireland,10
PEARSE STREET,6,24,Dublin,Ireland,10
JAMES STREET EAST,0,30,Dublin,Ireland,10
JOHN STREET WEST,3,28,Dublin,Ireland,10
EXCISE WALK,16,24,Dublin,Ireland,10
MOUNTJOY SQUARE EAST,10,30,Dublin,Ireland,10
KILMAINHAM LANE,4,26,Dublin,Ireland,10
FRANCIS STREET,21,9,Dublin,Ireland,10
GRATTAN STREET,2,20,Dublin,Ireland,10
HIGH STREET,3,26,Dublin,Ireland,10
MERRION SQUARE EAST,5,25,Dublin,Ireland,10
HARCOURT TERRACE,18,2,Dublin,Ireland,10
HEUSTON BRIDGE (NORTH),40,0,Dublin,Ireland,10
LEINSTER STREET SOUTH,9,21,Dublin,Ireland,10
GRANGEGORMAN LOWER (NORTH),5,31,Dublin,Ireland,10
PORTOBELLO HARBOUR,28,2,Dublin,Ireland,10
THE POINT,40,0,Dublin,Ireland,10
GEORGES QUAY,6,14,Dublin,Ireland,10
BROADSTONE,13,17,Dublin,Ireland,10
HEUSTON STATION (CAR PARK),36,4,Dublin,Ireland,10
PARNELL SQUARE NORTH,1,19,Dublin,Ireland,10
PARNELL STREET,2,18,Dublin,Ireland,10
AVONDALE ROAD,2,33,Dublin,Ireland,10
YORK STREET WEST,0,0,Dublin,Ireland,10
DAME STREET,15,1,Dublin,Ireland,10
CHARLEMONT PLACE,39,1,Dublin,Ireland,10
